Name,Type,Mana Cost,Power,Toughness,Text
A-Circuit Mender,Artifact Creature — Insect,{3},2,3,"When Circuit Mender enters the battlefield, you gain 3 life.
When Circuit Mender leaves the battlefield, draw a card."
Containment Construct,Artifact Creature — Construct,{2},2,1,"Whenever you discard a card, you may exile that card from your graveyard. If you do, you may play that card this turn."
Dramatist's Puppet,Artifact Creature — Construct,{4},2,4,"When Dramatist's Puppet enters the battlefield, for each kind of counter on target permanent, put another counter of that kind on it or remove one from it."
Eater of Virtue,Legendary Artifact — Equipment,{1},,,"Whenever equipped creature dies, exile it.
Equipped creature gets +2/+0.
As long as a card exiled with Eater of Virtue has flying, equipped creature has flying. The same is true for first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, protection, reach, trample, and vigilance.
Equip {1}"
Ecologist's Terrarium,Artifact,{2},,,"When Ecologist's Terrarium enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.
{2}, {T}, Sacrifice Ecologist's Terrarium: Put a +1/+1 counter on target creature. Activate only as a sorcery."
High-Speed Hoverbike,Artifact — Vehicle,{2},2,2,"Flash
Flying
When High-Speed Hoverbike enters the battlefield, tap up to one target creature.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)"
Iron Apprentice,Artifact Creature — Construct,{1},0,0,"Iron Apprentice enters the battlefield with a +1/+1 counter on it.
When Iron Apprentice dies, if it had counters on it, put those counters on target creature you control."
Mechtitan Core,Artifact — Vehicle,{2},2,4,"{5}, Exile Mechtitan Core and four other artifact creatures and/or Vehicles you control: Create Mechtitan, a legendary 10/10 Construct artifact creature token with flying, vigilance, trample, lifelink, and haste that's all colors. When that token leaves the battlefield, return all cards exiled with Mechtitan Core except Mechtitan Core to the battlefield tapped under their owners' control.
Crew 2"
Mirror Box,Artifact,{3},,,"The ""legend rule"" doesn't apply to permanents you control.
Each legendary creature you control gets +1/+1.
Each nontoken creature you control gets +1/+1 for each other creature you control with the same name as that creature."
Network Terminal,Artifact,{3},,,"{T}: Add one mana of any color.
{1}, {T}, Tap another untapped artifact you control: Draw a card, then discard a card."
Ninja's Kunai,Artifact — Equipment,{1},,,"Equipped creature has ""{1}, {T}, Sacrifice Ninja's Kunai: Ninja's Kunai deals 3 damage to any target.""
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
Papercraft Decoy,Artifact Creature — Frog,{2},2,1,"When Papercraft Decoy leaves the battlefield, you may pay {2}. If you do, draw a card."
Patchwork Automaton,Artifact Creature — Construct,{2},1,1,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Whenever you cast an artifact spell, put a +1/+1 counter on Patchwork Automaton."
Reckoner Bankbuster,Artifact — Vehicle,{2},4,4,"Reckoner Bankbuster enters the battlefield with three charge counters on it.
{2}, {T}, Remove a charge counter from Reckoner Bankbuster: Draw a card. Then if there are no charge counters on Reckoner Bankbuster, create a Treasure token and a 1/1 colorless Pilot creature token with ""This creature crews Vehicles as though its power were 2 greater.""
Crew 3"
Reito Sentinel,Artifact Creature — Construct,{3},3,3,"Defender
When Reito Sentinel enters the battlefield, target player mills three cards. (They put the top three cards of their library into their graveyard.)
{3}: Put target card from a graveyard on the bottom of its owner's library."
Runaway Trash-Bot,Artifact Creature — Construct,{3},0,4,"Trample
Runaway Trash-Bot gets +1/+0 for each artifact and/or enchantment card in your graveyard."
Searchlight Companion,Artifact Creature — Drone,{3},1,1,"Flying
When Searchlight Companion enters the battlefield, create a 1/1 colorless Spirit creature token."
Shrine Steward,Artifact Creature — Construct,{5},3,2,"When Shrine Steward enters the battlefield, you may search your library for an Aura or Shrine card, reveal it, put it into your hand, then shuffle."
Surgehacker Mech,Artifact — Vehicle,{4},5,5,"Menace
When Surgehacker Mech enters the battlefield, it deals damage equal to twice the number of Vehicles you control to target creature or planeswalker an opponent controls.
Crew 4"
Thundersteel Colossus,Artifact — Vehicle,{7},7,7,"Trample, haste
Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)"
Towashi Guide-Bot,Artifact Creature — Construct,{4},2,1,"When Towashi Guide-Bot enters the battlefield, put a +1/+1 counter on target creature you control.
{4}, {T}: Draw a card. This ability costs {1} less to activate for each modified creature you control. (Equipment, Auras you control, and counters are modifications.)"
Walking Skyscraper,Artifact Creature — Construct,{8},8,8,"This spell costs {1} less to cast for each modified creature you control. (Equipment, Auras you control, and counters are modifications.)
Trample
Walking Skyscraper has hexproof as long as it's untapped. (It can't be the target of spells or abilities your opponents control.)"
Bloodfell Caves,Land,,,,"Bloodfell Caves enters the battlefield tapped.
When Bloodfell Caves enters the battlefield, you gain 1 life.
{T}: Add {B} or {R}."
Blossoming Sands,Land,,,,"Blossoming Sands enters the battlefield tapped.
When Blossoming Sands enters the battlefield, you gain 1 life.
{T}: Add {G} or {W}."
"Boseiju, Who Endures",Legendary Land,,,,"{T}: Add {G}.
Channel — {1}{G}, Discard Boseiju, Who Endures: Destroy target artifact, enchantment, or nonbasic land an opponent controls. That player may search their library for a land card with a basic land type, put it onto the battlefield, then shuffle. This ability costs {1} less to activate for each legendary creature you control."
Dismal Backwater,Land,,,,"Dismal Backwater enters the battlefield tapped.
When Dismal Backwater enters the battlefield, you gain 1 life.
{T}: Add {U} or {B}."
"Eiganjo, Seat of the Empire",Legendary Land,,,,"{T}: Add {W}.
Channel — {2}{W}, Discard Eiganjo, Seat of the Empire: It deals 4 damage to target attacking or blocking creature. This ability costs {1} less to activate for each legendary creature you control."
Jungle Hollow,Land,,,,"Jungle Hollow enters the battlefield tapped.
When Jungle Hollow enters the battlefield, you gain 1 life.
{T}: Add {B} or {G}."
Mech Hangar,Land,,,,"{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a Pilot or Vehicle spell.
{3}, {T}: Target Vehicle becomes an artifact creature until end of turn."
"Otawara, Soaring City",Legendary Land,,,,"{T}: Add {U}.
Channel — {3}{U}, Discard Otawara, Soaring City: Return target artifact, creature, enchantment, or planeswalker to its owner's hand. This ability costs {1} less to activate for each legendary creature you control."
Roadside Reliquary,Land,,,,"{T}: Add {C}.
{2}, {T}, Sacrifice Roadside Reliquary: Draw a card if you control an artifact. Draw a card if you control an enchantment."
Rugged Highlands,Land,,,,"Rugged Highlands enters the battlefield tapped.
When Rugged Highlands enters the battlefield, you gain 1 life.
{T}: Add {R} or {G}."
Scoured Barrens,Land,,,,"Scoured Barrens enters the battlefield tapped.
When Scoured Barrens enters the battlefield, you gain 1 life.
{T}: Add {W} or {B}."
Secluded Courtyard,Land,,,,"As Secluded Courtyard enters the battlefield, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type or activate an ability of a creature or creature card of the chosen type."
"Sokenzan, Crucible of Defiance",Legendary Land,,,,"{T}: Add {R}.
Channel — {3}{R}, Discard Sokenzan, Crucible of Defiance: Create two 1/1 colorless Spirit creature tokens. They gain haste until end of turn. This ability costs {1} less to activate for each legendary creature you control."
Swiftwater Cliffs,Land,,,,"Swiftwater Cliffs enters the battlefield tapped.
When Swiftwater Cliffs enters the battlefield, you gain 1 life.
{T}: Add {U} or {R}."
"Takenuma, Abandoned Mire",Legendary Land,,,,"{T}: Add {B}.
Channel — {3}{B}, Discard Takenuma, Abandoned Mire: Mill three cards, then return a creature or planeswalker card from your graveyard to your hand. This ability costs {1} less to activate for each legendary creature you control."
Thornwood Falls,Land,,,,"Thornwood Falls enters the battlefield tapped.
When Thornwood Falls enters the battlefield, you gain 1 life.
{T}: Add {G} or {U}."
Tranquil Cove,Land,,,,"Tranquil Cove enters the battlefield tapped.
When Tranquil Cove enters the battlefield, you gain 1 life.
{T}: Add {W} or {U}."
Uncharted Haven,Land,,,,"Uncharted Haven enters the battlefield tapped.
As Uncharted Haven enters the battlefield, choose a color.
{T}: Add one mana of the chosen color."
Wind-Scarred Crag,Land,,,,"Wind-Scarred Crag enters the battlefield tapped.
When Wind-Scarred Crag enters the battlefield, you gain 1 life.
{T}: Add {R} or {W}."
Plains,Basic Land — Plains,,,,({T}: Add {W}.)
Plains,Basic Land — Plains,,,,({T}: Add {W}.)
Island,Basic Land — Island,,,,({T}: Add {U}.)
Island,Basic Land — Island,,,,({T}: Add {U}.)
Swamp,Basic Land — Swamp,,,,({T}: Add {B}.)
Swamp,Basic Land — Swamp,,,,({T}: Add {B}.)
Mountain,Basic Land — Mountain,,,,({T}: Add {R}.)
Mountain,Basic Land — Mountain,,,,({T}: Add {R}.)
Forest,Basic Land — Forest,,,,({T}: Add {G}.)
Forest,Basic Land — Forest,,,,({T}: Add {G}.)
Plains,Basic Land — Plains,,,,({T}: Add {W}.)
Plains,Basic Land — Plains,,,,({T}: Add {W}.)
Island,Basic Land — Island,,,,({T}: Add {U}.)
Island,Basic Land — Island,,,,({T}: Add {U}.)
Swamp,Basic Land — Swamp,,,,({T}: Add {B}.)
Swamp,Basic Land — Swamp,,,,({T}: Add {B}.)
Mountain,Basic Land — Mountain,,,,({T}: Add {R}.)
Mountain,Basic Land — Mountain,,,,({T}: Add {R}.)
Forest,Basic Land — Forest,,,,({T}: Add {G}.)
Forest,Basic Land — Forest,,,,({T}: Add {G}.)
The Wandering Emperor,Legendary Planeswalker,{2}{W}{W},,,"Flash
As long as The Wandering Emperor entered the battlefield this turn, you may activate her loyalty abilities any time you could cast an instant.
[+1]: Put a +1/+1 counter on up to one target creature. It gains first strike until end of turn.
[−1]: Create a 2/2 white Samurai creature token with vigilance.
[−2]: Exile target tapped creature. You gain 2 life."
"Tezzeret, Betrayer of Flesh",Legendary Planeswalker — Tezzeret,{2}{U}{U},,,"The first activated ability of an artifact you activate each turn costs {2} less to activate.
[+1]: Draw two cards. Then discard two cards unless you discard an artifact card.
[−2]: Target artifact becomes an artifact creature. If it isn't a Vehicle, it has base power and toughness 4/4.
[−6]: You get an emblem with ""Whenever an artifact you control becomes tapped, draw a card."""
Kaito Shizuki,Legendary Planeswalker — Kaito,{1}{U}{B},,,"At the beginning of your end step, if Kaito Shizuki entered the battlefield this turn, he phases out.
[+1]: Draw a card. Then discard a card unless you attacked this turn.
[−2]: Create a 1/1 blue Ninja creature token with ""This creature can't be blocked.""
[−7]: You get an emblem with ""Whenever a creature you control deals combat damage to a player, search your library for a blue or black creature card, put it onto the battlefield, then shuffle."""
"Tamiyo, Compleated Sage",Legendary Planeswalker — Tamiyo,{2}{G}{G/U/P}{U},,,"Compleated ({G/U/P} can be paid with {G}, {U}, or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
[+1]: Tap up to one target artifact or creature. It doesn't untap during its controller's next untap step.
[−X]: Exile target nonland permanent card with mana value X from your graveyard. Create a token that's a copy of that card.
[−7]: Create Tamiyo's Notebook, a legendary colorless artifact token with ""Spells you cast cost {2} less to cast"" and ""{T}: Draw a card."""
"Jin-Gitaxias, Progress Tyrant",Legendary Creature — Phyrexian Praetor,{5}{U}{U},5,5,"Whenever you cast an artifact, instant, or sorcery spell, copy that spell. You may choose new targets for the copy. This ability triggers only once each turn. (A copy of a permanent spell becomes a token.)
Whenever an opponent casts an artifact, instant, or sorcery spell, counter that spell. This ability triggers only once each turn."
"Tamiyo, Compleated Sage",Legendary Planeswalker — Tamiyo,{2}{G}{G/U/P}{U},,,"Compleated ({G/U/P} can be paid with {G}, {U}, or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
[+1]: Tap up to one target artifact or creature. It doesn't untap during its controller's next untap step.
[−X]: Exile target nonland permanent card with mana value X from your graveyard. Create a token that's a copy of that card.
[−7]: Create Tamiyo's Notebook, a legendary colorless artifact token with ""Spells you cast cost {2} less to cast"" and ""{T}: Draw a card."""
Eiganjo Exemplar,Enchantment Creature — Human Samurai,{1}{W},2,1,"Whenever a Samurai or Warrior you control attacks alone, it gets +1/+1 until end of turn."
Imperial Subduer,Creature — Human Samurai,{2}{W},3,2,"Whenever a Samurai or Warrior you control attacks alone, tap target creature you don't control."
"Norika Yamazaki, the Poet",Legendary Creature — Human Samurai,{2}{W},3,2,"Vigilance
Whenever a Samurai or Warrior you control attacks alone, you may cast target enchantment card from your graveyard this turn."
Selfless Samurai,Creature — Fox Samurai,{1}{W},2,2,"Whenever a Samurai or Warrior you control attacks alone, it gains lifelink until end of turn.
Sacrifice Selfless Samurai: Another target creature you control gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
Seven-Tail Mentor,Creature — Fox Samurai,{3}{W},2,3,"When Seven-Tail Mentor enters the battlefield or dies, put a +1/+1 counter on target creature or Vehicle you control."
Sky-Blessed Samurai,Enchantment Creature — Human Samurai,{6}{W},4,4,"This spell costs {1} less to cast for each enchantment you control.
Flying"
Sunblade Samurai,Enchantment Creature — Human Samurai,{4}{W},4,4,"Vigilance
Channel — {2}, Discard Sunblade Samurai: Search your library for a basic Plains card, reveal it, put it into your hand, then shuffle. You gain 2 life."
The Wandering Emperor,Legendary Planeswalker,{2}{W}{W},,,"Flash
As long as The Wandering Emperor entered the battlefield this turn, you may activate her loyalty abilities any time you could cast an instant.
[+1]: Put a +1/+1 counter on up to one target creature. It gains first strike until end of turn.
[−1]: Create a 2/2 white Samurai creature token with vigilance.
[−2]: Exile target tapped creature. You gain 2 life."
Guardians of Oboro,Creature — Moonfolk Samurai,{2}{U},3,4,"Defender
Modified creatures you control can attack as though they didn't have defender. (Equipment, Auras you control, and counters are modifications.)"
Nezumi Bladeblesser,Creature — Rat Samurai,{2}{B},3,2,"Nezumi Bladeblesser has deathtouch as long as you control an artifact.
Nezumi Bladeblesser has menace as long as you control an enchantment. (It can't be blocked except by two or more creatures.)"
Akki Ronin,Creature — Goblin Samurai,{1}{R},1,3,"Whenever a Samurai or Warrior you control attacks alone, you may discard a card. If you do, draw a card."
"Goro-Goro, Disciple of Ryusei",Legendary Creature — Goblin Samurai,{1}{R},2,2,"{R}: Creatures you control gain haste until end of turn.
{3}{R}{R}: Create a 5/5 red Dragon Spirit creature token with flying. Activate only if you control an attacking modified creature. (Equipment, Auras you control, and counters are modifications.)"
"Heiko Yamazaki, the General",Legendary Creature — Human Samurai,{3}{R},3,3,"Trample
Whenever a Samurai or Warrior you control attacks alone, you may cast target artifact card from your graveyard this turn."
Peerless Samurai,Creature — Human Samurai,{2}{R},2,3,"Menace (This creature can't be blocked except by two or more creatures.)
Whenever a Samurai or Warrior you control attacks alone, the next spell you cast this turn costs {1} less to cast."
Reinforced Ronin,Artifact Creature — Human Samurai,{R},2,2,"Haste
At the beginning of your end step, return Reinforced Ronin to its owner's hand.
Channel — {1}{R}, Discard Reinforced Ronin: Draw a card."
Upriser Renegade,Creature — Human Samurai,{1}{R},1,3,"Upriser Renegade gets +2/+0 for each other modified creature you control. (Equipment, Auras you control, and counters are modifications.)"
Heir of the Ancient Fang,Creature — Snake Samurai,{2}{G},2,3,"Heir of the Ancient Fang enters the battlefield with a +1/+1 counter on it if you control a modified creature. (Equipment, Auras you control, and counters are modifications.)"
Jukai Trainee,Creature — Human Samurai,{1}{G},2,2,"Whenever Jukai Trainee blocks or becomes blocked, it gets +1/+1 until end of turn."
Asari Captain,Creature — Human Samurai,{3}{R}{W},4,3,"Haste
Whenever a Samurai or Warrior you control attacks alone, it gets +1/+0 until end of turn for each Samurai or Warrior you control."
"Isshin, Two Heavens as One",Legendary Creature — Human Samurai,{R}{W}{B},3,4,"If a creature attacking causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time."
"Raiyuu, Storm's Edge",Legendary Creature — Human Samurai,{2}{R}{W},3,3,"First strike
Whenever a Samurai or Warrior you control attacks alone, untap it. If it's the first combat phase of the turn, there is an additional combat phase after this phase."
"Risona, Asari Commander",Legendary Creature — Human Samurai,{1}{R}{W},3,3,"Haste
Whenever Risona, Asari Commander deals combat damage to a player, if it doesn't have an indestructible counter on it, put an indestructible counter on it.
Whenever combat damage is dealt to you, remove an indestructible counter from Risona."
Blade-Blizzard Kitsune,Creature — Fox Ninja,{2}{W},2,2,"Ninjutsu {3}{W} ({3}{W}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Double strike"
Covert Technician,Artifact Creature — Human Ninja,{2}{U},2,4,"Ninjutsu {1}{U} ({1}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever Covert Technician deals combat damage to a player, you may put an artifact card with mana value less than or equal to that damage from your hand onto the battlefield."
Futurist Operative,Creature — Human Ninja,{3}{U},3,4,"As long as Futurist Operative is tapped, it's a Human Citizen with base power and toughness 1/1 and can't be blocked.
{2}{U}: Untap Futurist Operative."
Moon-Circuit Hacker,Enchantment Creature — Human Ninja,{1}{U},2,1,"Ninjutsu {U} ({U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever Moon-Circuit Hacker deals combat damage to a player, you may draw a card. If you do, discard a card unless Moon-Circuit Hacker entered the battlefield this turn."
Moonsnare Specialist,Creature — Human Ninja,{3}{U},2,2,"Ninjutsu {2}{U} ({2}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
When Moonsnare Specialist enters the battlefield, return up to one target creature to its owner's hand."
Prosperous Thief,Creature — Human Ninja,{2}{U},3,2,"Ninjutsu {1}{U} ({1}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever one or more Ninja or Rogue creatures you control deal combat damage to a player, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
Thousand-Faced Shadow,Creature — Human Ninja,{U},1,1,"Ninjutsu {2}{U}{U} ({2}{U}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Flying
When Thousand-Faced Shadow enters the battlefield from your hand, if it's attacking, create a token that's a copy of another target attacking creature. The token enters the battlefield tapped and attacking."
Biting-Palm Ninja,Creature — Human Ninja,{2}{B},3,3,"Ninjutsu {2}{B}
Biting-Palm Ninja enters the battlefield with a menace counter on it.
Whenever Biting-Palm Ninja deals combat damage to a player, you may remove a menace counter from it. When you do, that player reveals their hand and you choose a nonland card from it. Exile that card."
Dokuchi Shadow-Walker,Creature — Ogre Ninja,{4}{B}{B},5,5,"Ninjutsu {3}{B} ({3}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)"
Dokuchi Silencer,Creature — Human Ninja,{1}{B},2,1,"Ninjutsu {1}{B} ({1}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever Dokuchi Silencer deals combat damage to a player, you may discard a creature card. When you do, destroy target creature or planeswalker that player controls."
Inkrise Infiltrator,Creature — Human Ninja,{1}{B},1,2,"Flying
{3}{B}: Inkrise Infiltrator gets +2/+2 until end of turn."
Mukotai Ambusher,Artifact Creature — Rat Ninja,{3}{B},3,2,"Ninjutsu {1}{B} ({1}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Lifelink"
"Nashi, Moon Sage's Scion",Legendary Creature — Rat Ninja,{1}{B}{B},3,2,"Ninjutsu {3}{B} ({3}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever Nashi, Moon Sage's Scion deals combat damage to a player, exile the top card of each player's library. Until end of turn, you may play one of those cards. If you cast a spell this way, pay life equal to its mana value rather than paying its mana cost."
Nezumi Prowler,Artifact Creature — Rat Ninja,{1}{B},3,1,"Ninjutsu {1}{B} ({1}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
When Nezumi Prowler enters the battlefield, target creature you control gains deathtouch and lifelink until end of turn."
"Tatsunari, Toad Rider",Legendary Creature — Human Ninja,{2}{B},3,3,"Whenever you cast an enchantment spell, if you don't control a creature named Keimi, create Keimi, a legendary 3/3 black and green Frog creature token with ""Whenever you cast an enchantment spell, each opponent loses 1 life and you gain 1 life.""
{1}{G/U}: Tatsunari, Toad Rider and target Frog you control can't be blocked this turn except by creatures with flying or reach."
Coiling Stalker,Creature — Snake Ninja,{1}{G},2,1,"Ninjutsu {1}{G} ({1}{G}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever Coiling Stalker deals combat damage to a player, put a +1/+1 counter on target creature you control that doesn't have a +1/+1 counter on it."
Fang of Shigeki,Enchantment Creature — Snake Ninja,{G},1,1,Deathtouch
Kappa Tech-Wrecker,Creature — Turtle Ninja,{1}{G},1,3,"Ninjutsu {1}{G}
Kappa Tech-Wrecker enters the battlefield with a deathtouch counter on it.
Whenever Kappa Tech-Wrecker deals combat damage to a player, you may remove a deathtouch counter from it. When you do, exile target artifact or enchantment that player controls."
Spring-Leaf Avenger,Creature — Insect Ninja,{3}{G}{G},6,5,"Ninjutsu {3}{G} ({3}{G}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever Spring-Leaf Avenger deals combat damage to a player, return target permanent card from your graveyard to your hand."
Kaito Shizuki,Legendary Planeswalker — Kaito,{1}{U}{B},,,"At the beginning of your end step, if Kaito Shizuki entered the battlefield this turn, he phases out.
[+1]: Draw a card. Then discard a card unless you attacked this turn.
[−2]: Create a 1/1 blue Ninja creature token with ""This creature can't be blocked.""
[−7]: You get an emblem with ""Whenever a creature you control deals combat damage to a player, search your library for a blue or black creature card, put it onto the battlefield, then shuffle."""
"Kotose, the Silent Spider",Legendary Creature — Human Ninja,{3}{U}{B},4,4,"When Kotose, the Silent Spider enters the battlefield, exile target card other than a basic land card from an opponent's graveyard. Search that player's graveyard, hand, and library for any number of cards with the same name as that card and exile them. Then that player shuffles. For as long as you control Kotose, you may play one of the exiled cards, and you may spend mana as though it were mana of any color to cast it."
Satoru Umezawa,Legendary Creature — Human Ninja,{1}{U}{B},2,4,"Whenever you activate a ninjutsu ability, look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order. This ability triggers only once each turn.
Each creature card in your hand has ninjutsu {2}{U}{B}."
Silver-Fur Master,Creature — Rat Ninja,{U}{B},2,2,"Ninjutsu {U}{B} ({U}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Ninjutsu abilities you activate cost {1} less to activate.
Other Ninja and Rogue creatures you control get +1/+1."
The Restoration of Eiganjo // Architect of Restoration,Enchantment — Saga,{2}{W},,,"(As this Saga enters and after your draw step, add a lore counter.)
I — Search your library for a basic Plains card, reveal it, put it into your hand, then shuffle.
II — You may discard a card. When you do, return target permanent card with mana value 2 or less from your graveyard to the battlefield tapped.
III — Exile this Saga, then return it to the battlefield transformed under your control."
The Restoration of Eiganjo // Architect of Restoration,Enchantment Creature — Fox Monk,,3,4,"Vigilance
Whenever Architect of Restoration attacks or blocks, create a 1/1 colorless Spirit creature token."
Inventive Iteration // Living Breakthrough,Enchantment — Saga,{3}{U},,,"(As this Saga enters and after your draw step, add a lore counter.)
I — Return up to one target creature or planeswalker to its owner's hand.
II — Return an artifact card from your graveyard to your hand. If you can't, draw a card.
III — Exile this Saga, then return it to the battlefield transformed under your control."
Inventive Iteration // Living Breakthrough,Enchantment Creature — Moonfolk,,3,3,"Flying
Whenever you cast a spell, your opponents can't cast spells with the same mana value as that spell until your next turn."
Tribute to Horobi // Echo of Death's Wail,Enchantment — Saga,{1}{B},,,"(As this Saga enters and after your draw step, add a lore counter.)
I, II — Each opponent creates a 1/1 black Rat Rogue creature token.
III — Exile this Saga, then return it to the battlefield transformed under your control."
Tribute to Horobi // Echo of Death's Wail,Enchantment Creature — Spirit,,3,3,"Flying, haste
When Echo of Death's Wail enters the battlefield, gain control of all Rat tokens.
Whenever Echo of Death's Wail attacks, you may sacrifice another creature. If you do, draw a card."
Fable of the Mirror-Breaker // Reflection of Kiki-Jiki,Enchantment — Saga,{2}{R},,,"(As this Saga enters and after your draw step, add a lore counter.)
I — Create a 2/2 red Goblin Shaman creature token with ""Whenever this creature attacks, create a Treasure token.""
II — You may discard up to two cards. If you do, draw that many cards.
III — Exile this Saga, then return it to the battlefield transformed under your control."
Fable of the Mirror-Breaker // Reflection of Kiki-Jiki,Enchantment Creature — Goblin Shaman,,2,2,"{1}, {T}: Create a token that's a copy of another target nonlegendary creature you control, except it has haste. Sacrifice it at the beginning of the next end step."
The Dragon-Kami Reborn // Dragon-Kami's Egg,Enchantment — Saga,{2}{G},,,"(As this Saga enters and after your draw step, add a lore counter.)
I, II — You gain 2 life. Look at the top three cards of your library. Exile one of them face down with a hatching counter on it, then put the rest on the bottom of your library in any order.
III — Exile this Saga, then return it to the battlefield transformed under your control."
The Dragon-Kami Reborn // Dragon-Kami's Egg,Enchantment Creature — Egg,,0,1,"Whenever Dragon-Kami's Egg or a Dragon you control dies, you may cast a creature spell from among cards you own in exile with hatching counters on them without paying its mana cost."
Jugan Defends the Temple // Remnant of the Rising Star,Enchantment — Saga,{2}{G},,,"(As this Saga enters and after your draw step, add a lore counter.)
I — Create a 1/1 green Human Monk creature token with ""{T}: Add {G}.""
II — Put a +1/+1 counter on each of up to two target creatures.
III — Exile this Saga, then return it to the battlefield transformed under your control."
Jugan Defends the Temple // Remnant of the Rising Star,Enchantment Creature — Dragon Spirit,,2,2,"Flying
Whenever another creature enters the battlefield under your control, you may pay {X}. When you do, put X +1/+1 counters on that creature.
As long as you control five or more modified creatures, Remnant of the Rising Star gets +5/+5 and has trample. (Equipment, Auras you control, and counters are modifications.)"
Teachings of the Kirin // Kirin-Touched Orochi,Enchantment — Saga,{1}{G},,,"(As this Saga enters and after your draw step, add a lore counter.)
I — Mill three cards. Create a 1/1 colorless Spirit creature token.
II — Put a +1/+1 counter on target creature you control.
III — Exile this Saga, then return it to the battlefield transformed under your control."
Teachings of the Kirin // Kirin-Touched Orochi,Enchantment Creature — Snake Monk,,1,1,"Whenever Kirin-Touched Orochi attacks, choose one —
• Exile target creature card from a graveyard. When you do, create a 1/1 colorless Spirit creature token.
• Exile target noncreature card from a graveyard. When you do, put a +1/+1 counter on target creature you control."
Hidetsugu Consumes All // Vessel of the All-Consuming,Enchantment — Saga,{1}{B}{R},,,"(As this Saga enters and after your draw step, add a lore counter.)
I — Destroy each nonland permanent with mana value 1 or less.
II — Exile all graveyards.
III — Exile this Saga, then return it to the battlefield transformed under your control."
Hidetsugu Consumes All // Vessel of the All-Consuming,Enchantment Creature — Ogre Shaman,,3,3,"Trample
Whenever Vessel of the All-Consuming deals damage, put a +1/+1 counter on it.
Whenever Vessel of the All-Consuming deals damage to a player, if it has dealt 10 or more damage to that player this turn, they lose the game."
The Kami War // O-Kagachi Made Manifest,Enchantment — Saga,{1}{W}{U}{B}{R}{G},,,"(As this Saga enters and after your draw step, add a lore counter.)
I — Exile target nonland permanent an opponent controls.
II — Return up to one other target nonland permanent to its owner's hand. Then each opponent discards a card.
III — Exile this Saga, then return it to the battlefield transformed under your control."
The Kami War // O-Kagachi Made Manifest,Enchantment Creature — Dragon Spirit,,6,6,"O-Kagachi Made Manifest is all colors.
Flying, trample
Whenever O-Kagachi Made Manifest attacks, defending player chooses a nonland card in your graveyard. Return that card to your hand. O-Kagachi Made Manifest gets +X/+0 until end of turn, where X is the mana value of that card."
Brilliant Restoration,Sorcery,{3}{W}{W}{W}{W},,,Return all artifact and enchantment cards from your graveyard to the battlefield.
Cloudsteel Kirin,Artifact Creature — Equipment Kirin,{2}{W},3,2,"Flying
Equipped creature has flying and ""You can't lose the game and your opponents can't win the game.""
Reconfigure {5} ({5}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)"
Farewell,Sorcery,{4}{W}{W},,,"Choose one or more —
• Exile all artifacts.
• Exile all creatures.
• Exile all enchantments.
• Exile all graveyards."
